gene_symbol,N1,N2,OPC1,OPC2,GC1,GC2,MOG1,MOG2,A1,A2,MGL1,MGL2,Endo1,Endo2
0610005C13Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.200201,0.1,0.1,0.1,0.1,0.1
0610007C21Rik,33.378741,34.770467,57.415641,84.325226,46.986842,68.258139,54.736686,52.536814,47.529076,41.781448,75.383231,101.407792,59.257508,67.321897
0610007L01Rik,11.723832,12.362272,12.323579,14.148773,10.841421,17.118498,4.96029,7.248484,10.075592,11.83084,20.214993,16.412027,13.904486,13.021746
0610007P08Rik,1.278118,2.801128,6.060253,2.945927,8.097296,3.989445,2.475218,3.264023,7.917463,6.419092,0.519796,0.37521,4.525034,4.89565
0610007P14Rik,25.025453,23.64729,43.987477,64.589854,63.73033,72.237064,60.966421,66.573948,49.567579,47.814948,8.628644,11.996426,9.75984,11.275608
0610007P22Rik,12.637958,13.822684,6.954411,11.634429,7.64701,12.387077,8.50236,9.081803,8.061877,8.217655,6.833002,6.51257,5.709239,6.347161
0610008F07Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610009B14Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610009B22Rik,9.443369,9.388478,12.740432,11.615819,14.143087,13.460794,15.161026,13.807107,9.582227,8.586439,1.877283,3.312308,10.900236,13.127019
0610009D07Rik,25.096428,23.820812,30.926165,46.908262,34.535347,45.123731,29.413493,30.649842,18.93164,18.854123,13.011956,13.150915,28.761309,35.330565
0610009L18Rik,2.606876,2.48309,4.114169,6.30902,2.974594,4.872866,1.373795,3.114549,1.889407,1.981016,2.111932,1.158677,1.136458,1.624713
0610009O20Rik,10.103073,9.855777,17.847442,25.665439,12.72122,16.601873,10.96488,12.332775,16.714434,16.012751,22.295226,30.310277,17.187181,18.304193
0610010B08Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0610010F05Rik,10.596763,15.409012,6.958059,2.971523,8.908425,3.971756,3.637648,4.252198,5.420062,4.896544,0.815126,0.452567,5.511373,6.261175
0610010K14Rik,21.603628,20.083759,22.878877,28.872533,12.957874,18.617902,13.049345,16.240351,9.743287,11.972032,47.189466,53.134533,45.246122,47.657308
0610010O12Rik,20.036596,19.80722,8.280217,15.612365,11.6185,12.30839,24.179036,22.134954,12.905022,14.414392,2.738759,1.982344,2.242652,2.794676
0610011F06Rik,8.330959,9.213809,10.361063,14.624563,5.709725,7.026512,7.95552,7.229445,4.500571,5.745415,3.594477,4.911838,8.113293,10.673548
0610011L14Rik,6.301506,6.182916,5.783728,10.077378,7.788311,11.676298,6.57133,6.605391,6.508517,6.523446,5.927241,8.277044,7.536907,7.770996
0610012G03Rik,13.633185,14.210892,11.797408,22.668182,11.696653,17.73387,14.509687,15.496685,8.140915,7.548321,22.124153,22.671456,16.35142,18.584909
0610012H03Rik,0.1,0.1,0.419775,0.223747,0.106286,0.108983,0.1,0.1,0.1,0.116138,0.1,0.1,0.1,0.1
0610030E20Rik,3.331256,2.953771,4.45925,2.620431,3.222796,2.126688,0.966155,1.058513,5.460023,5.173822,2.637463,2.023244,1.178558,1.486875
0610031J06Rik,10.049194,10.007515,28.021797,39.092291,19.662051,28.213964,30.270063,28.834181,29.033379,23.716209,115.888898,161.757338,79.364054,79.995467
0610037L13Rik,7.774617,11.080131,16.348378,21.294857,10.789993,12.900518,7.975817,9.701662,20.963394,17.343817,13.45754,12.4964,20.006515,23.819071
0610037P05Rik,20.436885,20.823904,26.376346,33.598164,24.171651,29.554007,21.046707,21.526922,16.184381,16.799993,9.239153,8.323087,19.707806,23.201062
0610038B21Rik,0.1458,0.150898,0.237522,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.140681
0610039K10Rik,0.504251,0.104794,0.196262,0.161022,0.130641,0.138487,0.1,0.104153,0.208287,0.135377,0.444527,0.395275,0.394693,0.75886
0610040B10Rik,1.828105,1.108128,2.173193,3.461422,2.763794,3.557151,2.789386,2.951154,1.721131,1.383192,0.740022,0.496858,2.810756,2.809948
0610040F04Rik,0.1,0.1,0.1,0.317961,0.1,0.1,0.1,0.1,0.153301,0.126918,0.1,0.1,0.1,0.1
0610040J01Rik,0.690702,2.007432,28.250869,38.303137,6.055033,7.762086,3.931855,4.896339,16.339637,11.366817,41.400384,50.744468,0.1,0.157259
0610043K17Rik,0.121453,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0910001L09Rik,21.001027,21.224373,24.053851,30.671656,26.12063,35.689369,32.05105,32.080056,13.001983,11.354491,36.888488,71.46652,22.759931,28.168678
1100001G20Rik,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.379714,1.012167,0.1,0.1
