GeneName,RPKM          Oligodendrocytes div1                  1,RPKM          Oligodendrocytes div1                    2,RPKM          Oligodendrocytes div1                    3,RPKM          Oligodendrocytes div2.5                    1,RPKM          Oligodendrocytes div2.5                    2,RPKM          Oligodendrocytes div2.5                    3,RPKM          Oligodendrocytes div4                    1,RPKM          Oligodendrocytes div4                    2,RPKM          Oligodendrocytes div4                    3,RPKM          adult microglia 1,RPKM          adult microglia 2,RPKM          adult microglia 3,RPKM          Astrocytes 1,RPKM          Astrocytes 2,RPKM          Astrocytes 3,RPKM          cortical neurons div05                  1,RPKM          cortical neurons div05                  2,RPKM          cortical neurons div05                  3,RPKM          cortical neurons div10                  1,RPKM          cortical neurons div10                  2,RPKM          cortical neurons div10                  3
Mir703,90816.54,69838.88,90162.91,59920.88,69281.87,66172.13,59496.29,56164.65,61934.62,89908.98,77544.65,78178.5,47616.45,40134.51,46868.74,59035.45,54787.82,56532.63,46087.75,46794.23,45469.81
Tuba1a,14432.08,15236.81,16149.72,15102.52,13743.53,15170.54,7182.18,6440.931,7700.586,1027.167,884.7971,873.5578,5528.952,6380.992,5927.596,20040.9,20266.35,22431.57,14294.45,13296.79,12293.2
Uba52,10448.79,12967.86,11861.08,7003.46,8263.806,8441.87,8619.679,8638.113,8232.7,11897.72,11157.63,12656.67,5291.616,4904.102,5171.597,8965.464,9638.586,8716.903,7425.447,7409.609,7056.563
Tpt1,6809.276,6663.732,6970.815,5658.152,5676.504,5766.216,6492.751,6456.047,6783.938,6569.125,6468.578,6427.625,4390.734,4990.107,5019.99,5545.226,5328.977,4703.518,3247.968,3416.813,3366.48
Rpl41,6674.783,6435.908,6163.861,5487.138,5393.886,5621.415,6697.608,7537.555,6781.563,5628.476,8241.657,7305.195,4436.5,5020.284,4255.835,5294.084,5952.858,5246.697,4899.392,4819.477,4746.402
Eef1a1,6196.726,4959.942,6190.241,4110.525,4758.826,4579.473,4097.653,3895.188,4291.64,6135.425,5402.337,5341.163,3372.573,2844.291,3341.224,4114.018,3831.96,3996.021,3212.535,3294.032,3172.303
Cox6c,5274.43,4799.471,4883.188,5178.764,4820.464,5076.838,5317.721,5184.624,5167.431,3650.496,3676.703,3802.594,3861.495,3621.543,3572.353,4112.669,4364.31,4049.724,4253.36,5463.857,5472.033
Rpl36,5006.122,5083.112,5527.316,3086.461,3374.579,3406.913,3716.33,3884.551,3424.448,3595.161,4084.051,4169.756,2425.373,2704.579,2775.52,2617.628,3056.254,2657.454,1984.669,1916.214,2053.271
Rps18,4995.417,5783.511,5746.903,3611.211,3321.606,3591.477,3665.375,4213.384,3406.216,4681.746,5025.162,5591.247,1895.806,2133.306,1785.755,3121.778,3312.735,2786.898,2235.308,2486.185,2552.262
Rplp2,4707.112,4603,4695.145,3096.74,3069.346,3215.287,3020.941,3199.729,2957.372,4172.334,4466.032,4064.442,2138.776,2222.432,2225.229,2806.151,3075.713,2629.934,2130.464,1844.626,1942.51
Tubb2b,4501.223,4065.03,4754.067,3012.793,2788.224,3494.734,1940.136,1635.725,1797.293,196.4857,190.994,179.6616,1637.878,1617.89,1564.232,7894.704,7473.761,8556.313,5163.708,4616.198,4312.025
Gm1821,4331.72,3243.36,4052.646,4039.775,4448.33,4962.574,3963.364,4020.174,4448.182,3138.953,3554.106,3024.279,4276.528,4652.363,4879.086,6302.204,5742.332,5918.62,6115.118,6414.354,6199.277
