Gene names,young Microglia 1,young Microglia 2,young Microglia 3,adult Microglia 1,adult Microglia 2,adult Microglia 3,Oligodendrocytes div1                    1,Oligodendrocytes div1                    2,Oligodendrocytes div1                    3,Oligodendrocytes div2.5                    1,Oligodendrocytes div2.5                    2,Oligodendrocytes div2.5                    3,Oligodendrocytes div4                    1,Oligodendrocytes div4                    2,Oligodendrocytes div4                    3,Astrocytes 1,Astrocytes 2,Astrocytes 3,Neurons div05                  1,Neurons div05                  2,Neurons div05                  3,Neurons div10                  1,Neurons div10                  2,Neurons div10                  3,Neurons div15                  1,Neurons div15                  2,Neurons div15                  3
Sptan1,28.55,28.52,28.80,27.55,28.48,28.14,29.90,29.40,30.00,30.79,30.57,30.90,29.50,29.47,29.48,31.36,30.61,30.41,30.40,30.63,30.84,30.87,30.61,30.41,30.16,29.94,29.59
Tubb4b,33.96,33.82,34.24,33.71,34.34,34.20,34.55,33.88,34.92,35.52,35.51,35.35,34.13,34.21,34.07,34.65,34.11,33.99,36.13,36.59,36.43,36.31,36.15,36.19,36.00,36.13,35.60
Tuba1b,34.04,33.54,34.15,33.50,34.20,34.05,34.63,34.10,34.97,35.44,35.33,35.21,33.98,34.14,34.11,34.42,34.04,33.96,35.97,36.08,35.97,36.02,35.76,35.47,35.42,35.53,35.11
Actb,37.04,37.09,37.10,36.37,36.73,36.78,36.01,35.61,35.85,36.15,36.03,36.15,35.47,35.46,35.32,36.62,36.00,36.05,36.23,36.25,36.19,35.88,35.73,35.51,35.44,35.29,35.34
Ckb,32.84,32.74,33.42,32.97,32.83,33.31,34.11,33.63,33.98,34.10,34.06,34.05,33.99,33.83,33.85,35.59,35.02,34.79,33.46,33.24,33.43,33.58,33.22,33.08,32.84,32.84,32.37
Cltc,31.99,31.43,31.91,31.63,32.23,32.25,30.93,30.50,31.09,31.64,31.39,31.50,30.69,30.89,30.88,31.39,30.90,30.57,31.53,31.57,31.54,31.76,31.54,31.44,31.34,31.37,30.78
Pkm,34.14,34.08,34.47,34.00,34.44,34.62,33.04,32.73,33.02,33.52,33.18,33.37,32.52,32.46,32.64,33.32,32.61,32.57,33.06,33.10,33.06,33.12,32.62,32.41,32.30,32.12,31.86
Sptbn1,28.40,28.31,28.58,27.42,28.48,28.22,29.71,28.91,29.71,30.69,30.48,30.77,28.96,29.15,29.25,31.27,30.50,30.21,30.01,30.03,29.93,30.45,30.25,29.72,29.79,29.53,29.21
Atp5a1,33.05,33.25,33.22,32.38,32.98,33.02,32.97,32.74,32.87,33.18,32.96,33.03,32.91,32.77,32.57,33.73,33.03,32.83,33.20,33.19,33.20,33.37,33.16,33.03,32.87,32.79,32.77
Hspa8,34.26,34.31,34.58,33.51,33.91,34.10,33.94,33.67,33.98,33.77,33.62,33.88,33.75,33.69,33.53,34.26,33.61,33.61,33.61,33.68,33.63,33.63,33.42,33.11,32.86,32.78,32.69
Eno1,34.78,35.16,35.30,34.41,34.99,34.78,34.37,33.56,34.00,34.25,34.12,34.41,33.64,33.58,33.65,34.95,34.30,34.26,33.20,33.37,33.16,33.05,32.75,32.50,32.46,32.47,32.04
Atp5b,33.38,33.33,33.51,33.12,33.64,33.63,33.22,32.76,33.29,33.69,33.40,33.61,32.76,32.86,32.57,34.23,33.18,32.97,33.71,33.70,33.50,33.78,33.56,33.44,33.34,33.20,32.88
Gapdh,35.17,35.11,35.42,35.27,35.75,35.60,34.15,33.56,34.18,34.43,34.23,34.28,33.66,33.77,33.70,34.64,34.06,34.04,34.03,34.28,34.20,34.08,33.97,33.71,33.75,33.80,33.37
Aco2,31.20,31.13,31.45,31.33,31.77,31.57,31.59,30.98,31.64,31.93,31.73,31.86,31.20,31.45,31.63,32.29,31.51,31.37,31.88,31.92,31.79,32.14,31.88,31.59,31.61,31.47,31.25
Atp1a2,29.69,29.42,30.12,28.27,29.43,29.60,29.85,29.44,29.61,29.58,29.36,29.73,30.11,29.99,29.93,31.63,30.75,30.72,30.60,30.38,30.54,31.09,31.12,31.00,30.91,30.94,30.64
Aldoa,33.86,33.52,34.25,33.57,34.11,34.29,33.11,32.67,33.08,33.07,32.71,33.00,32.31,32.42,32.33,33.68,33.48,33.30,31.50,31.23,31.25,31.94,31.72,31.48,31.40,31.32,31.18
Ywhae,33.86,33.67,34.14,33.52,34.02,34.09,34.40,33.38,34.04,34.54,34.36,34.46,33.51,33.99,33.90,34.92,34.48,34.35,34.78,34.71,34.68,34.48,34.27,33.84,33.65,33.44,33.36
Dpysl2,31.63,31.97,32.06,31.70,32.07,31.83,32.63,32.14,32.75,33.44,33.38,33.20,32.49,32.72,32.57,32.99,32.37,32.36,33.79,33.85,34.05,33.80,33.48,33.09,33.00,32.82,32.69
Dync1h1,29.73,29.55,30.06,29.51,30.06,30.13,29.81,29.34,29.90,30.77,30.73,30.67,29.66,29.83,29.82,30.11,29.30,29.35,31.11,31.15,31.16,31.11,30.93,30.82,30.67,30.63,30.32
Tubb2b,32.12,32.33,32.67,31.36,31.41,31.55,33.76,33.40,33.93,33.70,33.57,33.50,33.29,33.30,33.09,33.38,32.72,32.60,34.91,34.90,34.89,34.92,34.67,34.49,34.49,34.57,34.19
Mdh2,33.12,33.25,33.68,32.65,33.12,33.00,32.94,32.58,32.73,33.11,33.14,33.20,32.68,32.72,32.52,33.88,32.99,32.89,33.25,33.37,33.22,33.37,33.43,33.12,32.68,32.74,32.44
Hsp90ab1,33.99,33.88,34.25,33.15,33.66,33.69,34.02,33.72,33.96,33.94,33.94,34.00,33.33,33.46,33.28,33.92,33.33,33.38,33.64,33.66,33.55,33.47,33.32,32.86,32.67,32.65,32.42
Map1b,24.59,24.27,24.66,22.99,23.32,23.90,30.31,29.72,30.65,31.67,31.46,31.40,29.62,30.18,29.91,29.89,28.97,28.92,32.04,32.30,32.25,31.81,31.55,31.15,30.51,30.57,30.26
Dnm1,27.33,27.46,28.21,28.05,28.60,28.62,27.82,27.40,27.91,29.23,28.89,29.18,27.59,27.94,27.80,27.32,27.24,26.92,29.75,29.61,29.59,30.39,30.18,30.20,30.33,30.21,29.77
Stxbp1,27.04,26.49,28.12,26.16,26.49,26.78,28.18,27.28,28.02,29.03,28.95,28.90,26.55,27.16,27.23,27.77,27.16,26.78,31.61,31.39,31.49,31.87,31.72,31.38,31.49,31.32,31.23
Cnp,27.30,27.02,27.27,26.38,27.17,27.70,31.72,30.69,32.39,32.83,32.68,32.84,33.06,33.11,33.01,29.44,28.71,28.61,25.15,25.91,24.73,25.41,26.47,24.96,24.94,24.76,24.79
Vdac1,31.87,32.28,32.69,31.56,32.45,32.61,32.28,31.71,32.06,32.25,32.12,32.08,31.86,32.00,31.91,33.77,32.98,32.95,32.81,32.72,32.64,32.91,32.81,32.65,32.65,32.52,32.31
Syn1,23.92,24.43,24.29,22.41,24.25,23.33,26.19,25.66,26.25,27.18,27.11,26.15,24.95,25.41,25.96,24.54,22.51,22.75,29.80,29.79,29.85,30.49,30.26,30.04,29.99,30.02,29.71
Map2,23.76,24.34,24.12,23.35,22.35,23.94,29.33,28.35,29.36,29.27,29.15,29.27,27.53,27.71,27.98,28.52,28.08,28.00,30.89,30.92,31.02,30.87,30.73,30.15,28.84,28.69,28.76
Nefm,29.40,29.24,29.54,27.62,29.27,29.02,29.91,29.07,29.67,28.87,28.10,29.77,29.22,28.38,28.41,31.72,30.90,31.04,28.36,29.42,29.13,28.26,28.22,27.87,27.26,27.39,27.43
Atp1a3,25.79,26.42,26.76,26.96,27.33,27.57,26.29,26.00,26.15,26.36,26.56,25.36,25.64,25.98,25.61,22.48,23.76,23.98,30.21,30.29,30.28,31.32,30.96,30.81,31.15,31.10,30.70
Map1a,24.03,22.86,22.42,25.12,23.62,23.85,28.35,27.82,28.64,29.50,29.30,29.36,28.75,29.34,29.22,27.81,27.02,26.68,27.72,27.57,27.50,27.83,27.80,27.50,27.39,27.33,27.06
Mbp,24.82,25.56,25.78,23.89,25.69,25.81,31.19,29.37,32.56,33.01,32.85,32.77,34.48,34.65,34.32,25.69,23.94,23.99,24.96,24.35,22.12,23.58,21.32,22.73,23.81,22.04,21.54
