Gene names,Isolated Astrocytes,Isolated Microglia,Isolated Neurons,Isolated Oligodendrocytes
Actb,38.61,38.97,38.19,38.39
Tubb2a,37.61,37.11,37.75,37.72
Tuba1b,37.53,37.40,37.81,37.89
Gapdh,36.87,36.85,36.41,36.56
Hspa8,37.21,37.25,37.18,37.27
Sptan1,36.77,34.91,35.62,36.19
Atp5b,37.35,37.00,37.07,36.99
Ckb,37.36,35.82,36.06,36.54
Atp5a1,37.28,36.93,37.05,36.87
Pkm,36.18,36.53,35.96,36.18
Eno1,37.18,36.82,35.87,36.71
Vim,37.92,35.14,35.43,35.33
Dpysl2,36.59,36.01,36.49,37.10
Hist1h4a,37.91,38.48,38.78,38.11
Hsp90ab1,36.93,37.09,36.88,37.11
Cltc,36.20,37.36,35.79,36.30
Aldoa,35.36,35.22,33.73,34.28
Ywhae,36.60,36.05,36.14,36.38
Eef1a1,36.98,37.07,36.85,37.23
Hist1h2bc;Hist1h2bh,36.93,37.54,37.42,37.09
Tubb4b,35.41,35.54,36.23,36.17
Dync1h1,36.75,36.53,36.96,37.36
Mdh2,36.40,36.03,36.53,35.72
Aco2,37.06,35.87,36.37,36.12
Hist1h2af;Hist1h2ab;Hist1h2ak;Hist1h2ah,37.38,37.83,38.18,37.68
Ppia,35.83,36.44,36.05,36.06
Sptbn1,36.55,34.63,35.03,35.78
Pgk1,35.98,35.60,35.10,35.97
Mbp,27.28,28.51,27.01,36.23
Atp1a2,36.64,33.85,33.59,34.34
Crmp1,33.91,33.56,35.85,35.03
Ywhaz,35.33,34.91,34.81,34.95
Cfl1,35.40,36.58,35.57,35.76
Vcp,36.07,35.79,35.96,36.47
Hspd1,35.99,35.70,35.75,35.59
Hspa5,36.32,36.63,36.34,36.42
Myh9,36.35,37.45,35.60,35.47
Map1b,33.44,33.52,35.95,36.18
Eef2,36.56,36.34,36.58,36.97
Hbbt1;Hbb-bs,34.20,36.07,34.57,34.83
Vdac1,35.67,35.17,35.51,35.06
Hist1h3b,36.54,37.41,37.30,36.64
Slc25a5,36.75,36.68,36.25,35.94
Nefm,33.04,31.72,32.00,33.76
